"","item","subj_num","session","pref_b","freq","cal","cond","congr","response","rt"
"3188","ciliegie",12,1,8,7,38,2,1,1,559.000015258789
"3189","anguria-02",12,1,4,3,16,4,0,1,496.999979019165
"3190","caramelle",12,1,9,2,394,1,1,0,496.999979019165
"3191","melone-01",12,1,7,5,33,2,1,1,575.000047683716
"3192","ananas",12,1,4,3,40,2,1,0,512.00008392334
"3193","cannoli",12,1,10,7,368,1,1,0,559.000015258789
"3194","kiwi-02",12,1,10,7,44,2,1,0,698.999881744385
"3195","cocco",12,1,9,7,364,3,0,1,621.000051498413
"3196","ananas",12,1,4,3,40,4,0,0,528.000116348267
"3197","pannocchia",12,1,4,2,353,1,1,0,527.999877929688
"3198","albicocca-01",12,1,7,3,28,4,0,1,559.000015258789
"3199","miele",12,1,7,6,304,3,0,0,466.000080108643
"3200","fichi",12,1,5,3,47,4,0,0,419.999837875366
"3201","bavarese ai mirtilli",12,1,10,5,90,3,0,0,513.000011444092
"3202","cannoli",12,1,10,7,368,1,1,1,559.000015258789
"3203","liquirizia",12,1,9,2,330,4,0,0,621.000051498413
"3204","ciliegie",12,1,8,7,38,2,1,1,511.999845504761
"3205","pannocchia",12,1,4,2,353,1,1,0,450.999975204468
"3206","pannocchia",12,1,4,2,353,1,1,0,435.00018119812
"3207","ciliegie",12,1,8,7,38,4,0,0,496.999979019165
"3208","ananas",12,1,4,3,40,4,0,0,450.999975204468
"3209","farro con il pesto e pomodoro",12,1,8,7,321,1,1,1,512.00008392334
"3210","bavarese ai mirtilli",12,1,10,5,90,3,0,0,372.999906539917
"3211","anguria-02",12,1,4,3,16,2,1,1,434.999942779541
"3212","fichi",12,1,5,3,47,3,0,0,372.999906539917
"3213","caramelle",12,1,9,2,394,3,0,0,575.000047683716
"3214","ananas",12,1,4,3,40,4,0,1,465.999841690063
"3215","emmental",12,1,3,1,403,4,0,0,434.999942779541
"3216","peperone-01",12,1,7,2,31,4,0,0,496.999979019165
"3217","aragosta",12,1,2,1,85,4,0,0,450.999975204468
"3218","emmental",12,1,3,1,403,1,1,1,575.000047683716
"3219","miele",12,1,7,6,304,1,1,0,387.999773025513
"3220","ostriche",12,1,5,4,69,2,1,1,559.000015258789
"3221","uva secca",12,1,8,8,283,1,1,0,559.000015258789
"3222","mortadella",12,1,5,7,396,1,1,1,450.000047683716
"3223","linguine con vongole veraci",12,1,3,1,133,2,1,1,418.999910354614
"3224","ananas",12,1,4,3,40,4,0,0,311.000108718872
"3225","cocco",12,1,9,7,364,3,0,0,418.999910354614
"3226","lattuga",12,1,7,4,19,4,0,0,419.000148773193
"3227","uva secca",12,1,8,8,283,1,1,1,372.999906539917
"3228","gallette di riso",12,1,7,2,392,1,1,0,388.000011444092
"3229","mortadella",12,1,5,7,396,3,0,0,388.000011444092
"3230","budino al cioccolato",12,1,4,2,117,3,0,0,465.999841690063
"3231","pane di cannella",12,1,6,1,372,1,1,0,667.00005531311
"3232","pannocchia",12,1,4,2,353,1,1,0,466.000080108643
"3233","goulash",12,1,9,2,109,4,0,1,605.999946594238
"3234","cialda",12,1,8,6,310,4,0,0,605.999946594238
"3235","kiwi-02",12,1,10,7,44,4,0,1,450.999975204468
"3236","albicocca-01",12,1,7,3,28,4,0,1,450.000047683716
"3237","cocco",12,1,9,7,364,3,0,1,513.000011444092
"3238","liquirizia",12,1,9,2,330,4,0,0,481.99987411499
"3239","linguine con vongole veraci",12,1,3,1,133,3,0,0,419.000148773193
"3240","ciliegie",12,1,8,7,38,2,1,1,590.000152587891
"3241","fichi",12,1,5,3,47,2,1,0,480.999946594238
"3242","spaghetti alla carbonara",12,1,9,6,378,4,0,1,434.999942779541
"3243","aragosta",12,1,2,1,85,2,1,0,434.999942779541
"3244","mortadella",12,1,5,7,396,3,0,0,621.000051498413
"3245","tomino allo speck",12,1,7,7,307,4,0,1,388.999938964844
"3246","pasticcino alla frutta",12,1,10,8,339,3,0,0,434.999942779541
"3247","pannocchia",12,1,4,2,353,3,0,0,434.999942779541
"3248","albicocca-01",12,1,7,3,28,2,1,1,434.999942779541
"3249","maiale alle verdure",12,1,4,5,76,3,0,0,512.00008392334
"3250","ananas",12,1,4,3,40,4,0,0,450.000047683716
"3251","broccolo",12,1,8,5,27,4,0,0,419.000148773193
"3252","bavarese ai mirtilli",12,1,10,5,90,2,1,1,513.000011444092
"3253","capocollo",12,1,5,1,450,1,1,1,496.999979019165
"3254","emmental",12,1,3,1,403,1,1,0,496.999979019165
"3255","anguria-02",12,1,4,3,16,4,0,1,449.999809265137
"3256","miele",12,1,7,6,304,3,0,0,543.999910354614
"3257","seppia",12,1,8,8,72,4,0,0,499.000072479248
"3258","spaghetti alla carbonara",12,1,9,6,378,4,0,1,404.999971389771
"3259","emmental",12,1,3,1,403,3,0,0,482.000112533569
"3260","mortadella",12,1,5,7,396,1,1,1,421.000003814697
"3261","seppia",12,1,8,8,72,2,1,1,528.999805450439
"3262","pasticcino alla frutta",12,1,10,8,339,4,0,1,499.000072479248
"3263","melone-01",12,1,7,5,33,2,1,1,513.999938964844
"3264","ostriche",12,1,5,4,69,4,0,0,358.000040054321
"3265","budino al cioccolato",12,1,4,2,117,3,0,0,483.000040054321
"3266","pannocchia",12,1,4,2,353,3,0,0,452.000141143799
"3267","ananas",12,1,4,3,40,2,1,1,499.000072479248
"3268","cialda",12,1,8,6,310,1,1,0,529.999971389771
"3269","fichi",12,1,5,3,47,2,1,0,436.000108718872
"3270","kiwi-02",12,1,10,7,44,2,1,0,437.000036239624
"3271","peperone-01",12,1,7,2,31,2,1,0,450.999975204468
"3272","kiwi-02",12,1,10,7,44,4,0,0,389.000177383423
"3273","emmental",12,1,3,1,403,1,1,1,450.999975204468
"3274","ciliegie",12,1,8,7,38,2,1,1,560.999870300293
"3275","peperone-01",12,1,7,2,31,2,1,0,763.000011444092
"3276","cannoli",12,1,10,7,368,1,1,1,560.999870300293
"3277","cotechino con lenticchie",12,1,4,5,329,1,1,1,497.999906539917
"3278","brie",12,1,6,1,319,1,1,1,450.999975204468
"3279","budino al cioccolato",12,1,4,2,117,2,1,0,452.000141143799
"3280","tomino allo speck",12,1,7,7,307,1,1,1,358.000040054321
"3281","goulash",12,1,9,2,109,3,0,0,389.999866485596
"3282","cannoli",12,1,10,7,368,3,0,1,389.000177383423
"3283","lattuga",12,1,7,4,19,2,1,0,435.999870300293
"3284","farro con il pesto e pomodoro",12,1,8,7,321,1,1,1,389.999866485596
"3285","mortadella",12,1,5,7,396,1,1,1,513.999938964844
"3286","ciliegie",12,1,8,7,38,2,1,1,497.999906539917
"3287","uva secca",12,1,8,8,283,3,0,0,575.999975204468
"3288","uva secca",12,1,8,8,283,1,1,0,420.000076293945
"3289","uva secca",12,1,8,8,283,1,1,0,404.999971389771
"3290","pastiera",12,1,10,6,296,3,0,1,404.999971389771
"3291","miele",12,1,7,6,304,1,1,0,483.000040054321
"3292","farro con il pesto e pomodoro",12,1,8,7,321,4,0,1,499.000072479248
"3293","miele",12,1,7,6,304,3,0,0,575.999975204468
"3294","pannocchia",12,1,4,2,353,3,0,1,545.000076293945
"3295","uva secca",12,1,8,8,283,1,1,0,452.000141143799
"3296","cialda",12,1,8,6,310,1,1,0,529.999971389771
"3297","brie",12,1,6,1,319,3,0,1,514.000177383423
"3298","tomino allo speck",12,1,7,7,307,3,0,0,420.000076293945
"3299","budino al cioccolato",12,1,4,2,117,2,1,1,654.000043869019
"3300","seppia",12,1,8,8,72,2,1,1,483.000040054321
"3301","pastiera",12,1,10,6,296,1,1,1,513.999938964844
"3302","brie",12,1,6,1,319,1,1,1,451.99990272522
"3303","ananas",12,1,4,3,40,2,1,0,467.000007629395
"3304","budino al cioccolato",12,1,4,2,117,2,1,0,404.999971389771
"3305","goulash",12,1,9,2,109,4,0,1,436.000108718872
"3306","goulash",12,1,9,2,109,2,1,1,436.000108718872
"3307","farro con il pesto e pomodoro",12,1,8,7,321,4,0,1,467.000007629395
"3308","cannoli",12,1,10,7,368,4,0,1,545.000076293945
"3309","melone-01",12,1,7,5,33,2,1,1,592.000007629395
"3310","budino al cioccolato",12,1,4,2,117,2,1,0,747.999906539917
"3311","seppia",12,1,8,8,72,3,0,0,451.99990272522
"3312","peperone-01",12,1,7,2,31,4,0,0,497.999906539917
"3313","albicocca-01",12,1,7,3,28,4,0,0,467.000007629395
"3314","ostriche",12,1,5,4,69,2,1,1,545.000076293945
"3315","liquirizia",12,1,9,2,330,1,1,0,420.000076293945
"3316","emmental",12,1,3,1,403,1,1,1,545.000076293945
"3317","piselli",12,1,3,1,52,2,1,1,421.000003814697
"3318","budino al cioccolato",12,1,4,2,117,3,0,1,653.999805450439
"3319","ostriche",12,1,5,4,69,4,0,1,686.000108718872
"3320","fichi",12,1,5,3,47,2,1,0,483.000040054321
"3321","fichi",12,1,5,3,47,2,1,0,499.000072479248
"3322","kiwi-02",12,1,10,7,44,2,1,0,529.000043869019
"3323","brie",12,1,6,1,319,4,0,1,514.000177383423
